App No.	Attorney	Case Ref	Client	Applicant name	Status
1-2022-07463	Nguyễn Hoàng Anh	IP/PR12373	OLIVE INTELLECTUAL PROPERTY FIRM	ALLSAFE JAPAN LTD.	Registered
1-2022-08591	Phạm Hiếu Thắng	IP/PR12372	Honigman LLP	NIKE INNOVATE C.V.	Abandoned
1-2022-07429	Lê Trung Hiếu	IP/PR12371	Spruson & Ferguson (Asia) Pte Ltd	ZTE CORPORATION	Allowed
1-2022-07727	Nguyễn Thu Trang	IP/PR12370	Yuasa and Hara	SUNTORY HOLDINGS LIMITED	Registered
1-2022-08142	Lê Thị Hồng	IP/PR12369	Konishi & Nagaoka	NOK CORPORATION	Registered
1-2022-08590	Trần Thị Thanh Giang	IP/PR12368	QUINN IP LAW	NIKE INNOVATE C.V. 	Abandoned
1-2022-07809	Lê Thị Hồng	IP/PR12367	Lewis Silkin LLP	Ørsted Wind Power A/S	Allowed
1-2019-01026	Ngô Thu Hà	IP/PR12366/CDD	Viering, Jentschura & Partner LLP	HARBIN PHARMACEUTICAL GROUP CO., LTD. GENERAL PHARMACEUTICAL FACTORY	Abandoned
1-2022-07811	Nguyễn Phi Long	IP/PR12365	STUDIO TORTA S.p.A.	SACMI FORNI & FILTER S.P.A.	Registered
1-2022-07691	Nguyễn Ngọc Hà My	IP/PR12364	Pizzeys Patent and Trademark Attorneys	"CHANG, Yiu Wen
 CHEN, George Dah Ren"	Examined
1-2022-07590	Ngô Thị Phương Hoa	IP/PR12363	Seshin Patent & Law Firm	"ESG INDUSTRY CO., LTD.
 ESG CONSTRUCTION. CO. LTD."	Registered
1-2022-07800	Ngô Thu Hà	IP/PR12362	Spruson & Ferguson (Asia) Pte Ltd	JANSSEN PHARMACEUTICA NV 	Examined
1-2022-07693	Nguyễn Ngọc Hà My	IP/PR12361	Pizzeys Patent and Trademark Attorneys	"CHEN, George Dah Ren
 CHANG, Yiu Wen"	Examined
1-2022-07854	Đặng Thị Phương Dung	IP/PR12360	QUS International Patent & Law Firm	WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.	Registered
1-2022-07804	Lã Quỳnh Nga	IP/PR12359	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Registered
1-2022-07852	Nguyễn Thị Thanh Hoài	IP/PR12358	Spruson & Ferguson (Asia) Pte Ltd	MERCK SHARP & DOHME LLC	Registered
1-2022-08273	Đặng Thị Phương Dung	IP/PR12357	Viering, Jentschura & Partner LLP	OASIS CO., LTD.	Examined
1-2022-07328	Trần Thị Hà	IP/PR12356	Spruson & Ferguson (Asia) Pte Ltd	Nokia Technologies Oy	Examined
1-2022-08003	Nguyễn Ngọc Hà My	IP/PR12355	Fox Rothschild LLP	VIR BIOTECHNOLOGY, INC.	Abandoned
1-2022-08108	Phạm Hiếu Thắng	IP/PR12354	Fulwider Patton LLP	LONE GULL HOLDINGS, LTD.	Registered
1-2023-00370	Trần Thị Thanh Giang	IP/PR12353	DONALDSON & BURKINSHAW	YONG HAI TECHNOLOGY PTE LTD	Abandoned
1-2023-00186	Nguyễn Thùy Dương	IP/PR12352	ALTACIT GLOBAL	K H EXPORTS INDIA PRIVATE LIMITED	Requested
1-2022-07332	Nguyễn Thu Trang	IP/PR12351	Spruson & Ferguson (Asia) Pte Ltd	ADAMA MAKHTESHIM LTD. 	Examined
1-2022-07651	Trần Thị Hà	IP/PR12350	Spruson & Ferguson (Asia) Pte Ltd	Enphase Energy, Inc.	Allowed
1-2022-07887	Nguyễn Thùy Dương	IP/PR12349	Spruson & Ferguson (Asia) Pte Ltd	"Amgen Inc.
 Vigil Neuroscience, Inc."	Examined
1-2022-07921	Nguyễn Thùy Dương	IP/PR12348	Spruson & Ferguson (Asia) Pte Ltd	"AMGEN INC.
 VIGIL NEUROSCIENCE, INC."	Abandoned
1-2022-07405	Lê Quang Hải	IP/PR12347	Honesty & Passion International Patent & Law Office	ORANGE MEDICS, INC.	Abandoned
1-2022-08140	Trần Thị Thanh Giang	IP/PR12346	Spruson & Ferguson (Asia) Pte Ltd	APIQE HOLDINGS, LLC	Examined
1-2022-07147	Bùi Văn Cường	IP/PR12345/DV	Spruson & Ferguson (Asia) Pte Ltd	ADAMA MAKHTESHIM LTD.	Abandoned
1-2022-08559	Trần Thị Thanh Giang	IP/PR12344	Shinjyu Global IP	DAIKIN INDUSTRIES, LTD.	Registered
1-2022-07427	Nguyễn Hoàng Anh	IP/PR12343	Spruson & Ferguson (Asia) Pte Ltd	SHELTERED WINGS, INC. D/B/A VORTEX OPTICS	Registered
1-2022-07628	Nguyễn Phi Long	IP/PR12342/H	VeriDoc Sdn Bhd.	AT SYSTECH SDN BHD	Abandoned
1-2022-07485	Nguyễn Ngọc Hà My	IP/PR12341	Ella Cheong LLC	APNIMED, INC. (DELAWARE)	Examined
1-2022-07109	Nguyễn Hoàng Anh	IP/PR12340/DV	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V. 	Abandoned
1-2022-07045	Ngô Thị Phương Hoa	IP/PR12339/DV	Spruson & Ferguson (Asia) Pte Ltd	INCYTE HOLDINGS CORPORATION	Abandoned
1-2022-07864	Lê Thị Hồng	IP/PR12338	Spruson & Ferguson (Asia) Pte Ltd	Grabtaxi Holdings Pte. Ltd.	Examined
1-2022-07855	Nguyễn Thùy Dương	IP/PR12337	Hiraki & Associates	"HOUSE FOODS CORPORATION 
 HOUSE FOODS GROUP INC. "	Examined
1-2022-07199	Lê Quang Hải	IP/PR12336	Viering, Jentschura & Partner LLP	"AULTON NEW ENERGY AUTOMOTIVE TECHNOLOGY GROUP 
 SHANGHAI DIANBA NEW ENERGY TECHNOLOGY CO., LTD."	Examined
1-2022-07524	Ngô Thị Phương Hoa	IP/PR12335	Spruson & Ferguson (Asia) Pte Ltd	"BATTELLE UK LIMITED
 MITSUI AGRISCIENCE INTERNATIONAL S.A./N.V."	Registered
1-2022-07164	Lã Quỳnh Nga	IP/PR12334	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Registered
1-2022-07305	Phạm Thị Cúc - IP	IP/PR12333	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Registered
1-2022-07330	Trần Thị Thanh Giang	IP/PR12332	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Examined
1-2022-07004	Nguyễn Hậu Sinh	IP/PR12331	Spruson & Ferguson (Asia) Pte Ltd	REPARE THERAPEUTICS INC.	Abandoned
2-2022-00590	Lê Thị Hồng	IP/PR12330	China Science Patent & Trademark Agent Ltd.	PANASONIC ECOLOGY SYSTEMS GUANGDONG CO., LTD	Registered
1-2023-00328	Nguyễn Ngọc Hà My	IP/PR12329	AWA Sweden AB	BIOARCTIC AB	Registered
1-2022-07808	Trần Thị Hà	IP/PR12328	IPPLUS Patent Office	SHANGHAI ASCLEPIUS MEDITEC CO., LTD.	Registered
1-2022-06999	Trần Thị Thanh Giang	IP/PR12327	Spruson & Ferguson (Asia) Pte Ltd	SECURKART LLC 	Examined
1-2022-07407	Nguyễn Vũ Nam	IP/PR12326	Spruson & Ferguson (Asia) Pte Ltd	Ciel Et Terre International	Registered
1-2022-07042	Ngô Thu Hà	IP/PR12325	Spruson & Ferguson (Asia) Pte Ltd	MARA RENEWABLES CORPORATION	Examined
1-2022-07166	Nguyễn Ngọc Hà My	IP/PR12324/DV	Spruson & Ferguson (Asia) Pte Ltd	TeneoOne, Inc.	Examined
1-2023-04383	Phạm Hiếu Thắng	IP/PR12323	Shusaku Yamamoto	NIHON BERUMU CO., LTD.	Registered
1-2022-06956	Nguyễn Ngọc Hà My	IP/PR12322	Spruson & Ferguson (Asia) Pte Ltd	TENEOBIO, INC. 	Registered
1-2022-07805	Lã Quỳnh Nga	IP/PR12321	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Registered
1-2022-07851	Nguyễn Thu Trang	IP/PR12320	YOU ME PATENT & LAW FIRM	HANWHA SOLUTIONS CORPORATION	Examined
1-2022-07692	Nguyễn Vũ Nam	IP/PR12319	STUDIO TORTA S.p.A.	SACMI TECH S.P.A.	Abandoned
1-2022-08358	Nguyễn Thu Trang	IP/PR12318	F. Hoffmann-La Roche AG	F. HOFFMANN-LA ROCHE AG	Allowed
1-2022-07521	Lã Quỳnh Nga	IP/PR12317	JurisAsia LLC	ELYSIS LIMITED PARTNERSHIP	Abandoned
	Nguyễn Thị Thu Hiền	IP/PR12316	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	Abandoned
	Nguyễn Thị Thu Hiền	IP/PR12315	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	Abandoned
	Nguyễn Thị Thu Hiền	IP/PR12314	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	Abandoned
	Nguyễn Thị Thu Hiền	IP/PR12313	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	Abandoned
	Nguyễn Thị Thu Hiền	IP/PR12312	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	Abandoned
	Nguyễn Thị Thu Hiền	IP/PR12311	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	Abandoned
	Nguyễn Thị Thu Hiền	IP/PR12310	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	Abandoned
1-2022-07005	Nguyễn Ngọc Hà My	IP/PR12309	Spruson & Ferguson (Asia) Pte Ltd	ABBOTT LABORATORIES	Abandoned
1-2022-08689	Lê Quang Hải	IP/PR12308	Seiyo Patent Office	UTSUNOMIYA KOGYO CO., LTD.	Registered
1-2022-06922	Lã Thị Bích Ngọc	IP/PR12307/DV	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Abandoned
1-2020-05352	Nguyễn Thùy Linh	IP/PR12306/CDD	Honigman LLP	NIKE INNOVATE C.V.	Withdrawn
1-2020-05491	Nguyễn Thùy Linh	IP/PR12305/CDD	Honigman LLP	NIKE INNOVATE C.V.	Withdrawn
1-2022-07044	Phạm Thị Cúc - IP	IP/PR12304	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD. 	Registered
1-2022-07406	Nguyễn Phi Long	IP/PR12303	Viering, Jentschura & Partner LLP	TENCL  	Registered
1-2022-06917	Lê Trung Hiếu	IP/PR12302	GESTHUYSEN Patentanwälte	UNIMICRON GERMANY GMBH	Examined
1-2022-07465	Ngô Thị Phương Hoa	IP/PR12301	FPA Patent Attorneys	Gilead Sciences, Inc.	Registered
1-2022-07889	Nguyễn Ngọc Yến	IP/PR12300	Spruson & Ferguson (Asia) Pte Ltd	Amgen Inc.	Abandoned
1-2022-06823	Phạm Thị Cúc - IP	IP/PR12299	Spruson & Ferguson (Asia) Pte Ltd	Senju Metal Industry Co., Ltd. 	Registered
1-2023-00330	Trần Thị Hà	IP/PR12298	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Abandoned
1-2023-00830	Phạm Thị Cúc - IP	IP/PR12297	KASAN IP & LAW FIRM	Samsung Display Co., Ltd.	Requested
1-2022-07308	Trần Thị Thanh Giang	IP/PR12296	Spruson & Ferguson (Asia) Pte Ltd	ALD VACUUM TECHNOLOGIES GMBH	Registered
1-2022-07525	Nguyễn Thị Thanh Hoài	IP/PR12295	Spruson & Ferguson (Asia) Pte Ltd	ASSEMBLY BIOSCIENCES, INC.	Allowed
1-2022-08031	Nguyễn Thị Mỹ Hương	IP/PR12294	Soei Intellectual Property Law	NIKKI-UNIVERSAL CO., LTD.	Registered
1-2022-07769	Bùi Văn Cường	IP/PR12293	Yuasa and Hara	SUNTORY HOLDINGS LIMITED	Abandoned
1-2022-08008	Nguyễn Vũ Nam	IP/PR12292	InvenSync Intellectual Property Group	GIGALANE CO., LTD.	Registered
1-2022-07002	Nguyễn Phi Long	IP/PR12291	IP CREW, P.C.	WARIKATA, Yusoh	Registered
1-2022-06735	Nguyễn Vũ Nam	IP/PR12290	Spruson & Ferguson (Asia) Pte Ltd	BARET	Abandoned
1-2022-08034	Ngô Thu Hà	IP/PR12289	F. Hoffmann-La Roche AG	F. HOFFMANN-LA ROCHE AG	Abandoned
1-2022-06959	Phạm Hiếu Thắng	IP/PR12288	Spruson & Ferguson (Asia) Pte Ltd	PROSLIDE TECHNOLOGY INC.	Abandoned
1-2022-06704	Trần Thị Hà	IP/PR12287	King & Wood	TECHTRONIC CORDLESS GP	Registered
1-2022-07114	Lã Quỳnh Nga	IP/PR12286	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Registered
1-2022-06736	Nguyễn Hoàng Anh	IP/PR12285/DV	SHOOK, HARDY & BACON, LLP	NIKE Innovate C.V.	Abandoned
1-2022-06764	Phạm Thị Cúc - IP	IP/PR12284	NOKIA TECHNOLOGIES OY	Nokia Technologies Oy	Abandoned
1-2022-07981	Nguyễn Hậu Sinh	IP/PR12283	Spruson & Ferguson (Asia) Pte Ltd	AMGEN INC. 	Registered
1-2022-07594	Nguyễn Ngọc Hà My	IP/PR12282	FPA Patent Attorneys	IOMX THERAPEUTICS AG	Abandoned
1-2022-07408	Phạm Hiếu Thắng	IP/PR12281	Manmin IP & Law Firm	KI, Eun Kwan	Abandoned
1-2022-07043	Nguyễn Thị Mỹ Hương	IP/PR12280	SungAm Suh International Patent & Law Firm	KCC CORPORATION	Registered
1-2022-07122	Nguyễn Ngọc Yến	IP/PR12279	FPA Patent Attorneys	GLOBAL BLOOD THERAPEUTICS, INC. 	Abandoned
1-2022-07729	Ngô Thị Phương Hoa	IP/PR12278	NGB Corporation	DIC CORPORATION	Abandoned
1-2022-07863	Nguyễn Vũ Nam	IP/PR12277	Shinjyu Global IP	DAIKIN INDUSTRIES, LTD.	Registered
1-2022-06827	Nguyễn Hậu Sinh	IP/PR12276	Spruson & Ferguson (Asia) Pte Ltd	MEIRAGTX UK II LIMITED	Abandoned
1-2022-06756	Ngô Thu Hà	IP/PR12275	Spruson & Ferguson (Asia) Pte Ltd	Denka Company Limited	Examined
1-2022-06757	Ngô Thu Hà	IP/PR12274	Spruson & Ferguson (Asia) Pte Ltd	DENKA COMPANY LIMITED	Examined
1-2022-07052	Nguyễn Thị Thanh Hoài	IP/PR12273	Spruson & Ferguson (Asia) Pte Ltd	PERHA PHARMACEUTICALS	Examined
1-2022-07115	Nguyễn Ngọc Hà My	IP/PR12272	Spruson & Ferguson (Asia) Pte Ltd	DENKA COMPANY LIMITED	Allowed
1-2022-07307	Ngô Thu Hà	IP/PR12271	F. Hoffmann - La Roche AG	F. HOFFMANN-LA ROCHE AG	Abandoned
1-2022-07679	Nguyễn Ngọc Hà My	IP/PR12270	Mewburn Ellis LLP	"F. HOFFMANN-LA ROCHE AG
 INSTITUT PASTEUR"	Abandoned
1-2022-07762	Lê Thị Hồng	IP/PR12269	HANGANG IP Law Firm	INNOVATIVE TECHNOLOGY LAB CO., LTD	Examined
1-2022-06769	Nguyễn Thị Mỹ Hương	IP/PR12268	FPA Patent Attorneys	Gilead Sciences, Inc.	Abandoned
1-2022-07117	Lã Quỳnh Nga	IP/PR12267	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD. 	Examined
1-2022-07113	Nguyễn Ngọc Hà My	IP/PR12266	Spruson & Ferguson (Asia) Pte Ltd	DENKA COMPANY LIMITED	Examined
1-2022-07329	Ngô Thị Phương Hoa	IP/PR12265	AIRGAIN, INC.	AIRGAIN, INC.	Examined
1-2022-07047	Nguyễn Thị Thanh Hoài	IP/PR12264	AIRGAIN, INC.	AIRGAIN, INC.	Examined
1-2022-07857	Phạm Hiếu Thắng	IP/PR12263	QUS International Patent & Law Firm	WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.	Registered
1-2022-06884	Nguyễn Ngọc Hà My	IP/PR12262	Spruson & Ferguson (Asia) Pte Ltd	ORGANICELL REGENERATIVE MEDICINE, INC. 	Abandoned
1-2022-07464	Lê Thị Hồng	IP/PR12261	Spruson & Ferguson (Asia) Pte Ltd	"EYGS LLP
 ROBOTHAM, John Stoddard
 BALASUBRAMANIAN, Barath Krishna
 ERNST & YOUNG U.S. LLP
 ERNST & YOUNG BELASTINGADVISEURS LLP
 PUTMAN, Franciscus Cornelis Pieter
 SMITH, Todd R.
 VALERI, Steven John"	Withdrawn
1-2022-07148	Nguyễn Thùy Dương	IP/PR12260	FPA Patent Attorneys	Mersana Therapeutics, Inc.	Examined
1-2023-02908	Nguyễn Thu Trang	IP/PR12259	ABE, IKUBO & KATAYAMA	SUNTORY HOLDINGS LIMITED 	Examined
1-2023-02231	Nguyễn Thu Trang	IP/PR12258	ABE, IKUBO & KATAYAMA	SUNTORY HOLDINGS LIMITED	Examined
1-2022-07000	Trần Thị Hà	IP/PR12257	Spruson & Ferguson (Asia) Pte Ltd	KURITA WATER INDUSTRIES LTD.	Registered
1-2022-07309	Đặng Thị Phương Dung	IP/PR12256	Melcher Patent Law PLLC	INNOVATIONS FOR WORLD NUTRITION, LLC	Registered
1-2022-07310	Nguyễn Thu Trang	IP/PR12255	Melcher Patent Law PLLC	INNOVATIONS FOR WORLD NUTRITION, LLC	Registered
1-2022-07362	Trần Thị Hà	IP/PR12254	NGB Corporation	DIC CORPORATION	Registered
18/080,289	Nguyễn Thùy Dương	IP/PR12253/US	CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH VINFAST	"VINFAST TRADING AND PRODUCTION JOINT STOCK COMPANY	"	Registered
18/080,246	Nguyễn Thùy Dương	IP/PR12252/US	CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VINFAST	"VINFAST TRADING AND PRODUCTION JOINT STOCK COMPANY	"	Registered
1-2022-07237	Nguyễn Thị Mỹ Hương	IP/PR12251	Spruson & Ferguson (Asia) Pte Ltd	Mitobridge, Inc.	Abandoned
1-2022-06825	Phạm Hiếu Thắng	IP/PR12250	WOOD & WU Patent and Trademark Office	Sanyang Motor Co., Ltd.	Requested
1-2022-07198	Lê Quang Hải	IP/PR12249	WOOD & WU Patent and Trademark Office	Sanyang Motor Co., Ltd.	Requested
1-2022-06674	Nguyễn Phi Long	IP/PR12248	DCC Advanz Malaysia Sdn Bhd	AMERICAN TIRE ENGINEERING, INC. 	Examined
1-2022-06957	Nguyễn Thu Trang	IP/PR12247	Marigdalia Ramirez-Fort	"RAMIREZ-FORT, Marigdalia, Kaleth
 FORT, Migdalia"	Examined
1-2022-07518	Phạm Thị Cúc - IP	IP/PR12246	Amica Law LLC	INTEL CORPORATION	Examined
1-2022-06920	Ngô Thị Phương Hoa	IP/PR12245	Spruson & Ferguson (Asia) Pte Ltd	Denka Company Limited	Examined
1-2022-07200	Nguyễn Ngọc Hà My	IP/PR12244	Spruson & Ferguson (Asia) Pte Ltd	ITEOS BELGIUM SA	Abandoned
1-2022-07306	Nguyễn Thị Thanh Hoài	IP/PR12243	Lakshmi Kumaran & Sridharan	M/S TAGROS CHEMICALS INDIA PVT. LTD	Examined
1-2022-07761	Lê Nguyệt Hạ Phượng	IP/PR12242	McCarter & English, LLP	ALNYLAM PHARMACEUTICALS, INC.	Examined
1-2022-07770	Nguyễn Hoàng Anh	IP/PR12241	Spruson & Ferguson (Asia) Pte Ltd	Acucela Inc.	Abandoned
1-2023-00089	Lê Thị Hồng	IP/PR12240	Spruson & Ferguson (Asia) Pte Ltd	ACUCELA INC.	Abandoned
	Nguyễn Ngọc Hà My	IP/PR12239	Spruson & Ferguson (Asia) Pte Ltd	BASF SE	Withdrawn
1-2022-07593	Nguyễn Ngọc Yến	IP/PR12238	Spruson & Ferguson (Asia) Pte Ltd	GENUS PLC	Allowed
1-2022-07116	Lê Trung Hiếu	IP/PR12237	MAEKAWA INTELLECTUAL PROPERTY OFFICE	ECO-PORK CO., LTD.	Registered
1-2022-06995	Nguyễn Thùy Dương	IP/PR12236	FPA Patent Attorneys	"THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY
 Forty Seven, LLC"	Registered
1-2022-07853	Ngô Thu Hà	IP/PR12235	Leydig, Voit & Mayer, Ltd.	Bolt Biotherapeutics, Inc.	Abandoned
1-2022-06883	Đặng Thị Phương Dung	IP/PR12234	Spruson & Ferguson (Asia) Pte Ltd	T.EN ZIMMER GMBH	Abandoned
1-2022-07428	Nguyễn Vũ Nam	IP/PR12233	Guardian IP Consulting I/S	LEGO A/S	Examined
1-2023-01334	Lê Quang Hải	IP/PR12232	Công ty cổ phần HYUNDAI ALUMINIUM VINA	Công ty Cổ phần Hyundai Aluminum Vina	Examined
1-2022-06873	Nguyễn Thị Sao Mai	IP/PR12231	Pizzeys Patent and Trademark Attorneys	MIRECULE, INC. 	Abandoned
1-2022-05671	Lã Quỳnh Nga	IP/PR12230/CDD	NOKIA TECHNOLOGIES OY	NOKIA TECHNOLOGIES OY	Abandoned
1-2022-07110	Nguyễn Thùy Dương	IP/PR12229	Spruson & Ferguson (Asia) Pte Ltd	INTERVET INTERNATIONAL B.V.	Abandoned
1-2022-06430	Nguyễn Ngọc Yến	IP/PR12228	Spruson & Ferguson (Asia) Pte Ltd	ABBOTT LABORATORIES	Abandoned
1-2022-06765	Nguyễn Phi Long	IP/PR12227	VIDON BREVETS & STRATÉGIE	ORANGE	Registered
1-2022-06614	Phạm Thị Cúc - IP	IP/PR12226	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD. 	Registered
1-2022-06567	Trần Thị Hà	IP/PR12225	Spruson & Ferguson (Asia) Pte Ltd	Senju Metal Industry Co., Ltd.	Registered
1-2022-06474	Lã Quỳnh Nga	IP/PR12224	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Allowed
1-2022-06766	Ngô Thị Phương Hoa	IP/PR12223	Yuasa and Hara	SUNTORY HOLDINGS LIMITED	Allowed
	Lê Thị Hồng	IP/PR12222	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12221	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12220	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12219	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12218	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12217	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12216	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12215	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12214	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12213	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12212	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12211	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
	Lê Thị Hồng	IP/PR12210	SHOOK, HARDY & BACON, LLP	NIKE INNOVATE C.V.	Withdrawn
1-2022-06387	Phạm Hiếu Thắng	IP/PR12209	DUREN IP	HERITAGE INDUSTRIES, LLC	Abandoned
1-2022-06967	Nguyễn Thùy Dương	IP/PR12208	Dority & Manning	W.R. GRACE & CO.-CONN.	Examined
1-2022-06960	Lã Quỳnh Nga	IP/PR12207	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD. 	Allowed
1-2022-07111	Phạm Thị Cúc - IP	IP/PR12206	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Registered
1-2022-07003	Lã Quỳnh Nga	IP/PR12205	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Registered
1-2022-07006	Lê Quang Hải	IP/PR12204	Merchant & Gould P.C.	HUMAX CO., LTD.	Registered
1-2022-06879	Trần Thị Hà	IP/PR12203	MAEDA & PARTNERS	C.I.TAKIRON CORPORATION 	Abandoned
1-2023-01721	Phạm Hiếu Thắng	IP/PR12202	Lee and Li, Attorneys-at-Law, Hsinchu Office	KING STEEL MACHINERY CO., LTD.	Registered
1-2022-08007	Đặng Thị Phương Dung	IP/PR12201	Lee and Li	KING STEEL MACHINERY CO., LTD.	Registered
1-2022-06881	Nguyễn Thu Trang	IP/PR12200	SEIWA PATENT & LAW	SUNTORY HOLDINGS LIMITED	Registered
1-2022-06386	Trần Thị Hà	IP/PR12199	Manmin IP & Law Firm	"KIM, Min Ho
 KIM, Sang Gil"	Registered
1-2022-05672	Phạm Thị Cúc - IP	IP/PR12198/CDD	NOKIA TECHNOLOGIES OY	NOKIA TECHNOLOGIES OY	Abandoned
1-2022-07361	Trần Thị Thanh Giang	IP/PR12197	KASAN IP & LAW FIRM	Samsung Display Co., LTD.	Registered
1-2022-06921	Nguyễn Thị Mỹ Hương	IP/PR12196	Spruson & Ferguson (Asia) Pte Ltd	AMGEN INC. 	Abandoned
1-2022-06961	Nguyễn Thu Trang	IP/PR12195	Yuasa and Hara	SUNTORY HOLDINGS LIMITED	Registered
1-2022-06310	Lê Quang Hải	IP/PR12194	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Registered
1-2022-06349	Phạm Thị Cúc - IP	IP/PR12193	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD. 	Registered
1-2022-06600	Nguyễn Phi Long	IP/PR12192	King & Wood	Techtronic Cordless GP 	Requested
1-2022-07730	Ngô Thị Phương Hoa	IP/PR12191	R-Pharm Group	R-PHARM OVERSEAS, INC.	Examined
1-2022-06067	Ngô Thị Phương Hoa	IP/PR12190	Spruson & Ferguson (Asia) Pte Ltd	MITOKININ, INC.	Allowed
1-2022-07165	Lê Thị Hồng	IP/PR12189	SHIN & KIM LLC	Samsung Display Co., Ltd.	Requested
1-2022-08392	Nguyễn Hoàng Anh	IP/PR12188	Palmo Patent Firm, p.c.	MITSUBISHI ELECTRIC CORPORATION	Registered
1-2022-06091	Lã Thị Bích Ngọc	IP/PR12187/DV	Pizzeys Patent and Trademark Attorneys	Avadain, LLC	Examined
1-2022-06821	Lê Thị Hồng	IP/PR12186	Spruson & Ferguson (Asia) Pte Ltd	GRABTAXI HOLDINGS PTE. LTD.	Examined
1-2022-06354	Nguyễn Thị Thanh Hoài	IP/PR12185	Spruson & Ferguson (Asia) Pte Ltd	CHUGAI SEIYAKU KABUSHIKI KAISHA 	Registered
2-2022-00534	Lê Quang Hải	IP/PR12184	China Science Patent & Trademark Agent Ltd.	PANASONIC ECOLOGY SYSTEMS GUANGDONG CO., LTD.	Registered
